ID,#日本語(原文),#やさしい日本語,#英語(原文),
32913,ちょっと一杯飲ませてくれ。,ちょっと杯１つ飲ませてくれ。,"give me a drink , please .",
32914,明日も大学へ行くつもりだ。,明日も大学へ行くつもりだ。,"i will go to the university tomorrow , too .",
32915,お名前をお伺いしてもよろしいでしょうか。,お名前をお尋ねしてもよいでしょうか。,might i ask your name ?,
32916,日曜日に何をしますか。,日曜日に何をしますか。,what do you do on sundays ?,
32917,彼女はその本を読まなかった。,彼女はその本を読まなかった。,she did not read the book .,
32918,メアリーはその二人のうちで可愛い方です。,メアリーはその二人のうちでかわいい方です。,mary is the cuter of the two .,
32919,彼は間違いを犯していた。,彼は間違いをしていた。,he was guilty of making a mistake .,
32920,私宛に手紙が来ていますか。,私に向けた手紙が来ていますか。,is there any mail for me ?,
32921,二人は別れたんだ。,二人は離れていったんだ。,the two of them split up .,
32922,お母さんは食事のしたくをするのに忙しい。,お母さんは食事の準備をするのに忙しい。,mother is busy preparing dinner .,
32923,１０人もの人がこの小さな家に住んでいる。,１０人もの人がこの小さな家に住んでいる。,as many as ten people live in this small house .,
32924,あなたと話しあいたいことがあります。,あなたと話したいことがあります。,there 's something i need to talk with you about .,
32925,彼の計画は退けられた。,彼の計画は止めさせられた。,his plan was discarded .,
32926,わたしたちは明日数学の授業があります。,私たちは明日数学の授業があります。,we will have a math class tomorrow .,
32927,これを青いのと取り替えてください。,これを青いのと交換してください。,please change this for a blue one .,
32928,我々全員がその新計画に賛成する。,私たち全員がその新計画に賛成する。,we all agree to the new plan .,
32929,私の言う事を注意して聞きなさい。,私の言う事を注意して聞きなさい。,listen to me carefully .,
32930,彼女はすばやく服を着た。,彼女はすごい速さで服を着た。,she dressed herself quickly .,
32931,母はいつ帰宅するのでしょうか。,母は何時に家に帰るのでしょうか。,when will mother come home ?,
32932,明日、きっと君を訪ねます。,明日、きっとあなたを訪ねます。,i will visit you tomorrow without fail .,
32933,彼は勉強がうまく進んでいる。,彼は勉強がうまく進んでいる。,he 's coming along nicely with his studies .,
32934,それ、ちょっと僕にやらせてみて。,それ、ちょっと僕にやらせてみて。,let me try it .,
32935,いつ旅から帰ったの。,いつ旅から帰ったの。,when did you get back from your trip ?,
32936,彼は電車に飛び乗った。,彼は列車に急いで乗った。,he jumped on the train .,
32937,外国語を学ぶ事はむずかしい。,外国語を学ぶ事は難しい。,learning a foreign language is difficult .,
32938,誰がトニー君を好きですか。,誰がトニー君を好きですか。,who likes tony ?,
32939,正直だと思っていた少年が私をだました。,正直だと思っていた少年が私に嘘を言った。,the boy i thought was honest deceived me .,
32940,会議は中止になったよ。,会議は止めることになったよ。,the meeting was canceled .,
32941,私が出来る限りの援助を彼に差しのべるつもりです。,私ができる限り彼を助けるつもりです。,i 'll offer him what help i can .,
32942,私たちはみんなあなたの健康を心配している。,私たちはみんなあなたの健康を心配している。,we are all anxious about your health .,
32943,彼女は返事に困った。,彼女は返事に困った。,she was at a loss for an answer .,
32944,彼がその仕事をひとりでやったはずはない。,彼がその仕事を一人でやったはずはない。,he can 't have done the work for himself .,
32945,あそこのテーブルに座れますか。,あの机に座ることができますか。,i wonder if we could have the table over there .,
32946,私はお風呂に入っているんだ。,私はお風呂に入っているんだ。,i am taking a bath now .,
32947,昨夜私たちはテレビを見た。,昨日の夜私たちはテレビを見た。,we watched tv last night .,
32948,その家は今建築中である。,その家は今作っている途中である。,the house is being built now .,
32949,私は高校生です。,私は高校生です。,i am a high school student .,
32950,君は今何をしているの。,あなたは今何をしているの。,what are you about now ?,
32951,その写真を見せてくれませんか。,その写真を見せてくれませんか。,will you show me the picture ?,
32952,彼女が彼の申し込みを拒絶したはずがない。,彼女が彼の頼むことを受けなかったはずがない。,she cannot have turned down his offer .,
32953,交番の周りに人がたくさんいた。,警察官のいる場所の周囲に人がたくさんいた。,i saw a number of people around the police box .,
32954,私の姉は高校生ではない。,私の姉は高校生ではない。,my sister is not a high school student .,
32955,彼は難問を解決した。,彼は難しい問題を解決した。,he solved the difficult problem .,
32956,今日はずっと具合いい。,今日はずっと具合いい。,i feel much better today .,
32957,彼女は彼の顔をひっぱたいた。,彼女は彼の顔を手で打った。,she slapped him in the face .,
32958,小道を歩いて行った。,小さい道を歩いて行った。,i walked along the footpath .,
32959,私は帰宅するとすぐに寝た。,私は家に帰るとすぐに寝た。,i slept soon when i came home .,
32960,私は彼らを一人も知らない。,私は彼らを一人も知らない。,i do not know any of them .,
32961,もう宿題を済ませてしまったのですか。,もう宿題を終わらせてしまったのですか。,have you finished your homework already ?,
32962,私にこの本を見せてください。,私にこの本を見せてください。,please show me this book .,
32963,私はその単語をおぼえている。,私はその言葉を覚えている。,i remember the word .,
32964,トムはこれを聞いておこった。,トムはこれを聞いておこった。,tom heard this and got angry .,
32965,彼はもうきていてもいいはずだ。,彼はもうきていてもいいはずだ。,he ought to have come by now .,
32966,コンサートの聴衆は多かった。,コンサートを聞く人は多かった。,there was a large audience at the concert .,
32967,その服は彼女にとても良く似合う。,その服は彼女にとてもよく合う。,that dress becomes her very well .,
32968,船は進路を変えた。,船は進む道を変えた。,the ship changed its course .,
32969,君はその列車に間に合わないでしょう。,あなたはその列車に乗ることができないでしょう。,you will not be able to catch the train .,
32970,なんてキレイな町なんだ！,なんてきれいな町なんだ！,what a beautiful town !,
32971,彼はテニスが上手にプレイできる。,彼はテニスがうまくできる。,he plays tennis very well .,
32972,彼女はその会に出席した。,彼女はその会に参加した。,she was present at the party .,
32973,どうしてもそれが理解できない。,どうしてもそれが理解できない。,i cannot understand it for the life of me .,
32974,昨日、彼女は病気で寝ていた。,昨日、彼女は病気で寝ていた。,she was sick in bed yesterday .,
32975,そうするのはあなたの責任だ。,そうするのはあなたの責任だ。,it is incumbent on you to do so .,
32976,左手で書いてみようとした。,左の手で書いてみようとした。,i tried to write with my left hand .,
32977,わたしは３人でテーブルを予約したい。,私は３人で机を予約したい。,i 'd like to reserve a table for three .,
32978,彼女は友人たちに笑われた。,彼女は友達たちに笑われた。,she was laughed at by her friends .,
32979,彼は帰宅したらすぐ就寝した。,彼は家に帰るとすぐ寝た。,he went to bed the moment he arrived home .,
32980,彼は私より２歳年下だ。,彼は私より２歳年が下だ。,he is junior to me by two years .,
32981,早寝早起きをすると健康になる。,早く寝て早く起きると健康になる。,to keep early hours makes you healthy .,
32982,道でばったり彼女に会いましてね。,道で意識せず彼女に会いましてね。,i just ran into her on the street .,
32983,猫が窓を引っかいているのが聞こえる。,猫が窓を引っかいているのが聞こえる。,i can hear a cat scratching at the window .,
32984,お母さんが突然歌い始めた。,お母さんが突然歌い始めた。,"all of a sudden , my mother began to sing .",
32985,彼は腕時計をちらっと見た。,彼は腕時計を少し見た。,he glanced at his watch .,
32986,彼女は子供の教育にどんなに苦労したことでしょう。,彼女は子供の教育にどれほど大変な思いをしたことでしょう。,you will never know what she went through to educate her children .,
32987,彼はその結果に大いに喜んだ。,彼はその結果にとても喜んだ。,he was delighted at the result .,
32988,もう少しで１２時だ。,もう少しで１２時だ。,it is almost 12 o 'clock .,
32989,彼女に会うのはむずかしいとわかるだろう。,彼女に会うのは難しいとわかるだろう。,you 'll find it difficult to meet her .,
32990,彼は早く寝始めた。,彼は早く寝始めた。,he started to go to bed early .,
32991,彼は、生活していけるだけの収入がない。,彼は、生活していくことができるだけの収入がない。,he doesn 't earn enough money to live on .,
32992,幸福には健康が不可欠です。,幸せには健康が必要です。,health is indispensable to a happy life .,
32993,どうぞごゆっくり。,どうぞゆっくりしていってください。,please stay as long as you wish .,
32994,あなたはすぐ出発しないといけない。,あなたはすぐ出発しないとダメ。,you must start soon .,
32995,その絵は以前に見たことがある。,その絵は前に見たことがある。,i have seen that picture before .,
32996,トムは本当に親切ですね。,トムは本当に親切ですね。,tom is very kind .,
32997,水は私のひざの高さだった。,水は私の膝の高さだった。,the water came up to my knees .,
32998,あなたは去年彼にそれをあげましたか。,あなたは前の年に彼にそれをあげましたか。,did you give it to him last year ?,
32999,叔母は私に花を持ってきてくれた。,両親の母は私に花を持ってきてくれた。,my aunt brought me some flowers .,
33000,彼は一言も言わないで、出て行った。,彼は何も言わないで、出て行った。,he went out without saying a word .,
33001,父の死後彼は独学しなければならなかった。,父の死んだ後彼は一人で勉強しなければならなかった。,"after his father died , he had to study by himself .",
33002,彼女は今夜のパーティーには来ないかもしれない。,彼女は今夜のパーティーには来ないかもしれない。,she may not come to the party tonight .,
33003,どうぞご自由に、お使いください。,どうぞご自由に、お使いください。,be my guest .,
33004,彼女はかぜをひいた。,彼女は風邪を引いた。,she came down with a cold .,
33005,また後で。,また後で。,see you later !,
33006,３〜４日は寝ていてください。,３〜４日は寝ていてください。,you should stay in bed for three or four days .,
33007,楽しい週末をね。,楽しい週の最後をね。,have a nice weekend .,
33008,鈴木先生はいつ日本をたたれたのですか。,鈴木先生はいつ日本をたたれたのですか。,when did mr suzuki leave japan ?,
33009,彼は正直者だと言われている。,彼は正直者だと言われている。,he is said to be honest .,
33010,彼らは天気についておしゃべりした。,彼らは天気についてお話しした。,they chatted about the weather .,
33011,男の子で食べ物にうるさいのは少ない。,少年で食べ物にうるさいのは少ない。,few boys are dainty about their food .,
33012,彼は自分が間違っていると認めた。,彼は自分が間違っていると認めた。,he admitted that he was wrong .,
33013,あなたの車を使わせていただけますか。,あなたの車を使わせていただけますか。,would you mind if used your car ?,
33014,自分を知ることは難しい。,自分を知ることは難しい。,it is difficult to know oneself .,
33015,私は新しい靴が気に入っている。,私は新しい靴が気に入っている。,he is pleased with his new shoes .,
33016,あなたは去年どこに住んでいましたか。,あなたは前の年どこに住んでいましたか。,where did you live last year ?,
33017,私は速く走ろうとした。,私は速く走ろうとした。,i tried to run fast .,
33018,もう誰も彼を、信用してない。,もう誰も彼を、信じることをしてない。,no one trusts him any more .,
33019,彼は隣人たちとうまくやっていけると思う。,彼は近くの人たちとうまくやって行くことができると思う。,i think he can get along with his neighbors .,
33020,学ぶのに年は関係ない。,学ぶのに年は関係ない。,one is never too old to learn .,
33021,いつかお国を訪れたいものです。,いつかお国を訪れたいものです。,i 'd like to visit your country some day .,
33022,彼はまじめな少年だ。,彼は頑張っている少年だ。,he is an earnest young man .,
33023,彼女は手荷物をたくさん持ってきた。,彼女は手荷物をたくさん持ってきた。,she took a lot of baggage with her .,
33024,君はついに仕事を得るのに成功した。,あなたはついに仕事を得るのに成功した。,you finally succeeded in getting a job .,
33025,私だったらホワイト氏にあってみるね。,私だったらホワイト氏にあってみるね。,i would see mr white .,
33026,彼が早起きするなんて珍しい。,彼が早く起きるなんてほとんど見たことがない。,it 's unusual for him to get up early .,
33027,きのう私は学校を休んだ。,昨日私は学校を休んだ。,i absented myself from school yesterday .,
33028,私は行かないことを忠告する。,私は行かないことを強く言う。,i advise you not to go .,
33029,来て下さるだけでいいのです。,来てくれるだけでいいのです。,i just want you to come .,
33030,彼は駅に着いた。,彼は駅に着いた。,he arrived at the station .,
33031,警察はその事件を調べるだろう。,警察はその事件を調べるだろう。,the police will look into the case .,
33032,彼女は私に役に立つ話をしてくれた。,彼女は私に役に立つ話をしてくれた。,she told me such stories as were useful .,
33033,一言で言えば君は間違っている。,１つの言葉で言えばあなたは間違っている。,"in a word , you are in the wrong .",
33034,彼は早起きを実行している。,彼は早く起きることを実行している。,he practices early rising .,
33035,彼はその絵をただ同様の値段で買った。,彼はその絵をただ同様の価値で買った。,he bought the picture for next to nothing .,
33036,彼はつかれて引き返した。,彼は疲れて戻った。,he got tired and turned back .,
33037,私たちの学校には立派な図書館があります。,私たちの学校には大きな図書館があります。,we have a nice school library .,
33038,列車に乗るのが好きだ。,列車に乗るのが好きだ。,i like to ride on trains .,
33039,私のためにご心配はご無用に願います。,私のためにご心配はしないように願います。,please don 't take any trouble on my account .,
33040,己も生き他も生かせ。,自分も生き他も生きるように。,live and let live .,
33041,私はその他の計画を思い付かない。,私はその他の計画を思いも付かない。,i can 't think of any other plan .,
33042,あなたは違いが分かります。,あなたは違いが分かります。,you will see the difference .,
33043,その川でスケートしたことがありますか。,その川で氷の上を滑るスポーツしたことがありますか。,have you ever tried skating on the river ?,
33044,日本語、英語、フランス語を話します。,日本語、英語、フランス語を話します。,"i speak japanese , english , and french .",
33045,その部屋は湖の見晴らしがすばらしい。,その部屋は湖の景色がすばらしい。,the room commands a fine view of the lake .,
33046,どれでも好きなカードを２枚取りなさい。,どれでも好きなカードを２枚取りなさい。,take any two cards you like .,
33047,彼には自分の意見というものがない。,彼には自分の意見といったものがない。,he has no idea of his own .,
33048,ボブはまわりの人に親切だ。,ボブは周囲の人に親切だ。,bob is kind to those around him .,
33049,彼女が病院までついて来てくれた。,彼女が病院までついて来てくれた。,she accompanied me to the hospital .,
33050,君はもう少し早く来るべきだった。,あなたはもう少し早くくるべきだった。,you should have come a little earlier .,
33051,成功したいと思うなら努力すべきだ。,成功したいと思うなら努力するべきだ。,"if you are to succeed , you should make efforts .",
33052,彼はクッキーを作っている。,彼はクッキーを作っている。,he is making cookies .,
33053,昔はここに広い公園があったものだ。,昔はここに広い公園があったものだ。,there used to be a large park here .,
33054,彼女はその知らせを聞いて真っ青になった。,彼女はその情報を聞いて顔が青くなった。,she turned pale at the news .,
33055,彼は全然私にものを言わなかった。,彼は全く私にものを言わなかった。,he didn 't speak to me at all .,
33056,すぐ明るくなるだろう。,すぐ明るくなるだろう。,it will soon grow light .,
33057,彼が首になった理由を教えて下さい。,彼が首になった理由を教えてください。,tell me the reason why he was fired .,
33058,彼は復讐した。,彼は自分がやられたことをそのまま返した。,he revenged himself .,
33059,もう我々はおしまいだ。,もう私たちは終わるのだ。,it 's all over for us .,
33060,彼がいったことは気にするなよ。,彼がいったことは気にするなよ。,don 't bother with what he said .,
33061,じゃ、私の名前の綴りを言いますよ。,なら、私の名前の文字を言いますよ。,"well , i 'll tell you how to spell my name .",
33062,君には、私たちの計画に反対する権利はない。,あなたには、私たちの計画に反対する権利はない。,you have no right to oppose our plan .,
33063,彼女は何もなかったかのように話した。,彼女は何もなかったかのように話した。,she spoke as though nothing had happened .,
33064,君は野球チームのメンバーですか。,あなたは野球チームのメンバーですか。,are you a member of the baseball team ?,
33065,実を言うと、金の持ち合わせがないんです。,実を言うと、金を持ってないんです。,"to tell the truth , i have no money with me .",
33066,私は日本料理が好きです。,私は日本料理が好きです。,i like japanese dishes .,
33067,君の身から出た錆だ。,あなたの身から出た錆だ。,you have no one but yourself to blame .,
33068,この語はフランス語から借用したものだ。,この語はフランス語から借りて使ったものだ。,this word was borrowed from french .,
33069,東京は日本のどの都市より大きい。,東京は日本のどの都市より大きい。,tokyo is larger than any other city in japan .,
33070,京都は最も美しい時に一番混み合う。,京都は最も美しい時に一番人が多い。,kyoto is most crowded when it is most beautiful .,
33071,彼が医者になるのは不可能だ。,彼が医者になることはできない。,it is impossible for him to become a doctor .,
33072,これで終わりです。,これで終わるのです。,this is the end .,
33073,隣人は愛すべきである。,周囲の人は愛するべきである。,you ought to love your neighbors .,
33074,ついに我々はその困難な仕事を仕上げた。,ついに私たちはその難しい仕事を終わらせた。,"at last , we got through with the hard work .",
33075,運転している人に話しかけてはならない。,運転している人と話してはならない。,you are not to speak to the man at the wheel .,
33076,彼は行かないだろう。,彼は行かないだろう。,he will not go .,
33077,ご成功をお祈りします。,ご成功を期待しています。,may you succeed !,
33078,不可能以外のなにものでもない。,できない以外のなんでもない。,it 's all but impossible .,
33079,彼は、試験に合格するつもりで一生懸命勉強した。,彼は、試験に合格するつもりで頑張って勉強した。,he studied hard with the intention of passing the examination .,
33080,私は泳ぐことが出来ます。,私は泳ぐことができます。,i 'm able to swim .,
33081,私はフランスに渡りたいと思っている。,私はフランスに渡りたいと思っている。,i want to go over to france .,
33082,私たちは彼を見失った。,私たちは彼を見ることができなくなった。,we lost sight of him .,
33083,寝る前に明かりを消しなさい。,寝る前に電気を消せ。,put out the light before you go to bed .,
33084,これをタイプしてくれませんか。,これをタイプしてくれませんか。,"will you type this , please ?",
33085,私を一人にしておいてください。,私を一人にしておいてください。,please leave me alone .,
33086,彼が帰ってきたときを覚えている。,彼が帰ってきた時を覚えている。,i remember the time when he returned .,
33087,決して病気にならないでいる事など不可能だ。,決して病気にならないでいる事などできない。,it is not possible to be free from every sort of disease .,
33088,こんなに長い間またせてごめんなさい。,こんなに長い間待たせてすみません。,i 'm sorry to have kept you waiting so long .,
33089,彼は多くの問題を処理できる人ではない。,彼は多くの問題を処理できる人ではない。,he is not a man to deal with a lot of problems .,
33090,私はロンドンに２回行ったことがある。,私はロンドンに２回いったことがある。,i have been to london twice .,
33091,それに匹敵する物がない。,それと同じ価値の物がない。,it has no parallel .,
33092,タクシーにのるくらいならむしろ歩きたい。,タクシーに乗るくらいならむしろ歩きたい。,i would as soon walk as take a taxi .,
33093,あなたたちは２人ともまちがっている。,あなたたちはお互いに間違っている。,you are both in the wrong .,
33094,赤ちゃんは見ていて楽しい。,赤ちゃんは見ていて楽しい。,babies are interesting to watch .,
33095,出来るだけ利用する。,できるだけ利用する。,you should try to make the most of your opportunities .,
33096,私はその本を読むのは難しいとわかった。,私はその本を読むのは難しいとわかった。,i found it difficult to read the book .,
33097,こんな寒さは１０年ぶりだ。,こんな寒さは１０年ぶりだ。,this is the coldest weather in ten years .,
33098,そのニュースは本当だとわかった。,そのニュースは本当だとわかった。,the news turned out to be true .,
33099,私は仕事で忙しい。,私は仕事で忙しい。,i 'm busy with work .,
33100,きれいな鳥が木の上を飛んでいる。,きれいな鳥が木の上を飛んでいる。,some pretty birds are flying above the trees .,
33101,他人の事はほうっておいてくれ。,他の人の事は気にしないでおいてくれ。,mind your own business !,
33102,仕事が彼をそこに連れていった。,仕事が彼をそこに連れていった。,business took him there .,
33103,どうぞおいで下さい。,どうぞ来てください。,do me the favor of coming .,
33104,教室で食べるの？,教室で食べるの？,you eat in the classroom ?,
33105,彼は病気だったらしい。,彼は病気だったらしい。,he seems to have been ill .,
33106,彼女は貧しいけれど幸福です。,彼女はお金がないけれど幸せです。,"she is poor , but she is happy .",
33107,私たちは長年親しくしている。,私たちは長い間お互いが近い関係にいる。,we 've been close friends for many years .,
33108,今が行動する時だ。,今が行動する時だ。,now is the time for action .,
33109,金持ちはけちであることが多い。,金持ちはお金にうるさいことが多い。,the rich are often misers .,
33110,起こしてくれる必要はなかったのに。,起こしてくれる必要はなかったのに。,you need not have woken me up .,
33111,あなたのおっしゃることがよく聞こえません。,あなたの言うことがよく聞こえません。,i can 't hear you very well .,
33112,くつろいでいて下さい。,ゆっくりしていてください。,make yourself at home .,
33113,５時前の始めなければなりません。,５時前の始めなければなりません。,we must begin before five .,
33114,この靴はきつすぎる。,この靴は小さすぎる。,these shoes are too tight .,
33115,彼は車を洗いはじめた。,彼は車を洗いはじめた。,he started washing his car .,
33116,それ、わたしを口説いてるの？,それ、私に説明してんの？,are you making a pass at me ?,
33117,この髪型にしてください。,この髪の形にしてください。,i would like my hair in this style .,
33118,その家族には５歳の女の子がいた。,その家族には５歳の少女がいた。,there was a five-year-old girl in the family .,
33119,私が忘れたら注意して下さい。,私が忘れたら注意してください。,"in case i forget , please remind me .",
33120,私は昨晩野球の試合を見た。,私は昨日の夜野球の試合を見た。,i watched the baseball game last night .,
33121,いったん失ったものは取り戻すことはできない。,１度失ったものは戻ることはない。,you cannot take back what you have once lost .,
33122,ここが父の働いているところです。,ここが父の働いているところです。,this is where my father works .,
33123,彼らもいつか我々に折れてくるだろう。,彼らもいつか私たちに賛成してくるだろう。,they 'll give in to us some day .,
33124,お取り寄せいたしましょうか。,こちらでお取りしましょうか。,would you like me to order it ?,
33125,彼らは就職に成功した。,彼らは仕事につくことに成功した。,they succeeded in getting that job .,
33126,彼に会う事などは到底思いもよらない。,彼に会う事などは全く思いもよらない。,i cannot think that i will ever meet him .,
33127,息子さんにそんな厳格になるのはおやめなさい。,息子さんにそんな厳しくなるのはやめろ。,don 't be so hard on your son .,
33128,それはある意味では本当だ。,それはある意味では本当だ。,it is true in a sense .,
33129,大学はこの種の試験を廃止することに決めた。,大学はこの種の試験を止めることに決めた。,the university decided to do away with this kind of examination .,
33130,彼は旅行に出て留守だ。,彼は旅行に出て留守だ。,he 's away on a trip .,
33131,ｕｆｏはすぐに見えなくなってしまった。,未確認飛行物はすぐに見ることができなくなってしまった。,we lost sight of the ufo right away .,
33132,ジョークのわからない人もいる。,冗談のわからない人もいる。,there are some who don 't see a joke .,
33133,彼は昨夜自動車を盗まれた。,彼は昨日の夜自動車を盗まれた。,he had his car stolen last night .,
33134,彼はその失敗に対し責任がある。,彼はその失敗に対し責任がある。,he is to blame for the failure .,
33135,彼の妻はその事故で死亡した。,彼の妻はその事故で死んだ。,his wife was killed in the accident .,
33136,彼女は靴を磨いてもらった。,彼女は靴をきれいにしてもらった。,she had her shoes shined .,
33137,雨があたり一帯に降っている。,雨が周囲全てに降っている。,the rain is raining all around .,
33138,彼女は私にひどく不愛想だった。,彼女は私にひどく怖い顔をしていた。,she was very short with me .,
33139,どちらの道に行くべきかわかりますか。,どちらの道に行くべきかわかりますか。,do you know which way to take ?,
33140,どうか私にかまわないでください。,どうか私を気にしないでください。,please don 't mind me .,
33141,コンピューターの勉強をすればするほど面白くなってきた。,コンピューターの勉強をすればするほど面白くなってきた。,"the more i studied computers , the more interesting i came to find it .",
33142,今までのところはよろしい。,今までのところはよい。,it is all right so far .,
33143,その家には家具がたくさんありすぎる。,その家には家具がたくさんありすぎる。,there is too much furniture in the house .,
33144,もう若くないと思うと悲しいです。,もう若くないと思うと悲しいです。,i weep for my lost youth .,
33145,彼らは進んで英語を学ぶ気がある。,彼らは進んで英語を学ぶ気がある。,they are willing to learn english .,
33146,我々は一日三回食事をする。,私たちは１日３回食事をする。,we take a meal three times a day .,
33147,メアリーですよ、私の名前は。,メアリーですよ、私の名前は。,mary . that 's my name .,
33148,きみもゾクゾクきてるかい？,あなたも気分が上がってきてるかい？,is this getting you going too ?,
33149,私は彼を昨夜車に乗せた。,私は彼を昨日の夜車に乗ってもらった。,i gave him a ride in my car last night .,
33150,あら捜しをされるのが好きな人はいない。,悪いところを探されるのが好きな人はいない。,nobody likes to be found fault with .,
33151,彼はいつものように５時におきた。,彼はいつものように５時に起きた。,he got up at five as usual .,
33152,日に日に彼は良くなるようだった。,日に日に彼はよくなるようだった。,day by day he seemed to get better .,
33153,その村はひどい嵐によって孤立した。,その村はひどい嵐によって道がなくなった。,the village was isolated by the heavy storm .,
33154,万事順調にいっている。,全てよい方向にいっている。,everything is in good order .,
33155,そこの角ですよ。,そこの角ですよ。,it 's at the corner .,
33156,出きるだけ早く参ります。,できるだけ早く行きます。,i 'll come as soon as possible .,
33157,すっかりお膳立てができている。,すでに準備ができている。,it 's all laid on .,
33158,太郎、手伝ってくれる？,太郎、手伝ってくれる？,"will you lend a hand , taro ?",
33159,彼女は１０ドルでハンカチを買った。,彼女は１０ドルでハンカチを買った。,she bought a handkerchief for ten dollars .,
33160,彼女は今、夕食の準備をするのに忙しい。,彼女は今、夕食の準備をするのに忙しい。,she is busy preparing supper now .,
33161,私はこの辺は、よく知りません。,私はこの近くは、よく知りません。,i am a stranger here .,
33162,好きなことをしなさい。,好きなことをしなさい。,do what you like .,
33163,彼女は仕事はしないと言った。,彼女は仕事はしないと言った。,she said no more work .,
33164,この家に貸間はありますか。,この家に貸している部屋はありますか。,have you a room to let in this house ?,
33165,私は駅の近くにいます。,私は駅の近くにいます。,i am near the station .,
33166,彼女は疲れ過ぎて働き続けられなかった。,彼女は疲れ過ぎて働き続けられなかった。,she was too tired to go on working .,
33167,雨が降るので帰ったほうがいい。,雨が降るので帰った方がいい。,"it 's raining , so we should go home .",
33168,この町には古い教会がある。,この町には古い教会がある。,there is an old church in this town .,
33169,私はお母さんより早く起きたかった。,私はお母さんより早く起きたかった。,i wanted to get up earlier than mother .,
33170,何人かが通りを渡ってくるのがわかる。,何人かが通りを渡ってくるのがわかる。,i can see some people walking across the street .,
33171,健は今朝からずっとここにいません。,健は今朝からずっとここにいません。,ken has not been here since this morning .,
33172,まもなく楽しい正月だ。,もうすぐ楽しい新しい年だ。,i 'm looking forward to the new year holidays .,
33173,彼女はとにかく外出したくなかった。,彼女はとにかく外に出たくなかった。,she wanted to go out anyway .,
33174,彼女の答えは間違っていた。,彼女の答えは間違っていた。,her answer was incorrect .,
33175,彼女は自活しなければならないだろう。,彼女は自分で生活しなければならないだろう。,she will have to earn her own living .,
33176,私たちは昨日無事にここに着いた。,私たちは昨日問題なくここに着いた。,we arrived here safely yesterday .,
33177,テレビを見る前に宿題を終えなさい。,テレビを見る前に宿題を終わらせろ。,you 're to do your homework before you watch tv .,
33178,彼はその金をうまく生かして使った。,彼はその金をうまく利用して使った。,he made good use of the money .,
33179,この部屋は暖まりやすい。,この部屋は熱が上がりやすい。,this room heats easily .,
33180,よく眠った後で体調は最もよい状態だった。,よく寝た後で調子は最もよい状態だった。,i was at my best after a good sleep .,
33181,転ばないように十分気をつけた。,倒れないように十分気をつけた。,i took good care that i did not fall .,
33182,誰かが君の腕時計を盗んだにちがいない。,誰かがあなたの腕時計を盗んだに違いない。,someone must have stolen your watch .,
33183,私のお姉さんは毎朝髪を洗う。,私のお姉さんは毎日朝髪を洗う。,my big sister washes her hair every morning .,
33184,君は私を馬鹿者だと思いますか。,あなたは私を馬鹿者だと思いますか。,do you take me for a fool ?,
33185,私が面倒をみます。,私が世話をします。,i will see to it .,
33186,戦争は我々すべてにかかわることだ。,戦争は私たち全てにかかわることだ。,war concerns us all .,
33187,彼らは結婚しそうもない。,彼らは結婚しそうもない。,they are unlikely to marry .,
33188,彼女は赤の他人です。,彼女は全く知らない人です。,she is a total stranger to me .,
33189,私の娘はおてんば娘だ。,私の娘は元気な子だ。,my daughter is a tomboy .,
33190,私はまだ仕事を終えていない。,私はまだ仕事を終わっていない。,i have not yet done with the work .,
33191,私はハワイへ船で行きます。,私はハワイへ船で行きます。,i 'm going to hawaii by ship .,
33192,彼はロンドンの郊外に住んでいる。,彼はロンドンの周囲に住んでいる。,he lives in the suburbs of london .,
33193,その事実を知らないものはいない。,その事実を知らないものはいない。,there is no one but knows the fact .,
33194,私は彼に会わないように身を隠した。,私は彼に会わないように身を隠した。,i hid myself so that i might not meet him .,
33195,彼女はまだ自転車に乗れない。,彼女はまだ自転車に乗ることができない。,she can 't ride a bicycle yet .,
33196,私は健に手伝ってくれるようにたのんだ。,私は健に手伝ってくれるように頼んだ。,i asked ken to help me .,
33197,彼は早く寝た。,彼は早く寝た。,he went to bed early .,
33198,休暇を切りあげて帰ってきてください。,休みをやめて帰ってきてください。,please cut short your vacation and return .,
33199,私は手持ちのお金が少しあります。,私は持っているお金が少しあります。,i have a little money with me .,
33200,貧しい人をさげすんではならない。,お金がない人を馬鹿にしてはならない。,you should not look down upon the poor .,
33201,どこからそんな噂が出たんだろう。,どこからそんな話が出たんだろう。,i wonder who started that rumor .,
33202,彼は私にをタイプ使わせてくれた。,彼は私にをタイプ使わせてくれた。,he let me use his typewriter .,
33203,彼女は恋をしたことがありますか。,彼女は恋をしたことがありますか。,has she ever fallen in love ?,
33204,どうせやるからには上手にやるようにしなさい。,何にしてもやるからにはうまくやるようにしろ。,"if you do it at all , try to do it well .",
33205,その結果を軽く見てはいけない。,その結果を軽く見てはダメ。,you should not make little of the result .,
33206,彼は娘にドレスを買った。,彼は娘にドレスを買った。,he bought his daughter a dress .,
33207,彼は私たちによい席を取ってくれた。,彼は私たちによい席を取ってくれた。,he got us nice seats .,
33208,私は一番列車に間に合うくらい早く起きた。,私は一番列車に乗ることができるくらい早く起きた。,i got up early enough to catch the first train .,
33209,なぜ遅刻したのですか。,なぜ遅れたのですか。,why were you late ?,
